"mean1"	"mean2"
"dclus_GENH01.1.fsa_nt.out.txt"	0.948743808405225	0.954507195522516
"dclus_GENI01.1.fsa_nt.out.txt"	0.831290068897384	0.957990293100976
"dclus_GENJ01.1.fsa_nt.out.txt"	0.857534625495706	1.03932842410141
"dclus_GENM01.1.fsa_nt.out.txt"	0.471752913590934	1.08469704071255
"dclus_GENN01.1.fsa_nt.out.txt"	0.920689386994871	1.07559516956612
"dclus_GENO01.1.fsa_nt.out.txt"	0.877512312203539	0.960147753333765
"dclus_GENP01.1.fsa_nt.out.txt"	0.759150566106548	1.00951725930881
"dclus_GENR01.1.fsa_nt.out.txt"	0.863241283979637	1.02169943158888
"dclus_GENS01.1.fsa_nt.out.txt"	0.873718953616554	1.10070050966736
"dclus_GENT01.1.fsa_nt.out.txt"	0.763559843688892	1.02423011429464
"dclus_GENU01.1.fsa_nt.out.txt"	0.755808243540126	1.02073003760913
"dclus_GENX01.1.fsa_nt.out.txt"	1.02972788818145	1.74615504267306
"dclus_GENY01.1.fsa_nt.out.txt"	0.967206262832312	1.23407837461803
"dclus_GENZ01.1.fsa_nt.out.txt"	1.02497315886837	1.73727423099424
"dclus_GEOA01.1.fsa_nt.out.txt"	0.931736611208942	1.06241671199467
"dclus_GEOB01.1.fsa_nt.out.txt"	0.955082637201039	1.02671904363532
"dclus_GEOC01.1.fsa_nt.out.txt"	0.926744170076439	1.09452065446715
"dclus_GEOD01.1.fsa_nt.out.txt"	0.958942961286857	1.01183145512933
"dclus_GEOE01.1.fsa_nt.out.txt"	0.938143949725023	0.915495012486863
"dclus_GEOF01.1.fsa_nt.out.txt"	0.862467558046065	1.0541289519785
"dclus_GEOG01.1.fsa_nt.out.txt"	0.761152054102247	1.04892048550914
"dclus_GEOJ01.1.fsa_nt.out.txt"	0.82712165026371	1.11329187606161
"dclus_GEOK01.1.fsa_nt.out.txt"	0.837351588492209	1.11068781765696
"dclus_GEOL01.1.fsa_nt.out.txt"	0.823053980280716	1.11477736169365
"dclus_GEOM01.1.fsa_nt.out.txt"	0.910885147251752	1.6228226811749
"dclus_GEON01.1.fsa_nt.out.txt"	0.841388436404578	0.913876417807685
"dclus_GEOO01.1.fsa_nt.out.txt"	0.851225733028752	1.12294980467762
"dclus_GEOP01.1.fsa_nt.out.txt"	0.805631518893824	1.07118423462107
"dclus_GEOQ01.1.fsa_nt.out.txt"	0.719765206054812	1.17101585184775
"dclus_GEOR01.1.fsa_nt.out.txt"	0.965560379970668	1.03037275800048
"dclus_GEOS01.1.fsa_nt.out.txt"	0.829177703302494	1.14987877310365
"dclus_GEOT01.1.fsa_nt.out.txt"	0.915278951844479	1.27001965024116
"dclus_GEOU01.1.fsa_nt.out.txt"	0.852934895944196	0.980730882340821
"dclus_GEOV01.1.fsa_nt.out.txt"	1.02318521690683	1.10455180608712
"dclus_GERG01.1.fsa_nt.out.txt"	0.932092514156393	1.12567807739869
